"id","sequence","active","type_tax_use","description","description@es","name","name@es","amount","amount_type","tax_group_id","price_include_override","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids"
"account_tax_template_igic_r_7",0,"True","sale","IGIC 7%","IGIC 7%","7%","7%",7,"percent","tax_group_igic_7","","base","invoice","","","+mod420[7]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777","","+mod420[9]"
"","","","","","","","","","","","","base","refund","","","-mod420[21]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777","","-mod420[22]"
"account_tax_template_igic_r_0",1,"True","sale","IGIC 0%","IGIC 0%","0%","0%",0,"percent","tax_group_igic_0","","base","invoice","","","+mod420[1]"
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","","-mod420[21]"
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_r_3",1,"True","sale","IGIC 3%","IGIC 3%","3%","3%",3,"percent","tax_group_igic_3","","base","invoice","","","+mod420[4]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777","","+mod420[6]"
"","","","","","","","","","","","","base","refund","","","-mod420[21]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777","","-mod420[22]"
"account_tax_template_igic_r_5",1,"True","sale","IGIC 5%","IGIC 5%","5%","5%",3,"percent","tax_group_igic_3","","base","invoice","","","+mod420[4]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777","","+mod420[6]"
"","","","","","","","","","","","","base","refund","","","-mod420[21]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777","","-mod420[22]"
"account_tax_template_igic_r_9_5",1,"True","sale","IGIC 9.5%","IGIC 9,5%","9.5%","9.5%",9.5,"percent","tax_group_igic_95","","base","invoice","","","+mod420[10]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777","","+mod420[12]"
"","","","","","","","","","","","","base","refund","","","-mod420[21]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777","","-mod420[22]"
"account_tax_template_igic_r_15",1,"True","sale","IGIC 15%","IGIC 15%","15%","15%",15,"percent","tax_group_igic_15","","base","invoice","","","+mod420[13]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777","","+mod420[15]"
"","","","","","","","","","","","","base","refund","","","-mod420[21]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777","","-mod420[22]"
"account_tax_template_igic_r_20",1,"True","sale","IGIC 20%","IGIC 20%","20%","20%",20,"percent","tax_group_igic_20","","base","invoice","","","+mod420[16]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777","","+mod420[18]"
"","","","","","","","","","","","","base","refund","","","-mod420[21]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777","","-mod420[22]"
"account_tax_template_igic_s_ISP0",1,"True","sale","IGIC 0% Sale Reverse Charge","IGIC 0% Venta con Inversión del Sujeto Pasivo","0% Sale RC","0% Venta ISP",0,"percent","tax_group_igic_0","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_ex_0",1,"True","sale","IGIC 0% (Exports)","IGIC 0% (Exportaciones)","0% EX","0% EX",0,"percent","tax_group_igic_0","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_re_ex",1,"True","sale","IGIC Exempt Passed On","IGIC Exento Repercutido","EXEMPT PO","EXEMPT REP",0,"percent","tax_group_igic_ex","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_cmino",1,"True","sale","Exempt for Retail Trade","Exento por Comercio minorista","EXEMPT RT","EXEMPT CM",0,"percent","tax_group_igic_cmino","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_sop_cmino",1,"True","purchase","Exempt for Retail Trade","Exento por Comercio minorista","EXEMPT RT","EXEMPT CM",0,"percent","tax_group_igic_cmino","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","","","-mod420[35]"
"account_tax_template_igic_sop_3_cmino",1,"True","purchase","IGIC 3% (Retail trade)","IGIC 3% (Comercio minorista)","3% RT","3% CM",2.1,"percent","tax_group_igic_cmino","tax_included","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_7_cmino",0,"True","purchase","IGIC 7% (Retail trade)","IGIC 7% (Comercio minorista)","7% RT","7% CM",4.9,"percent","tax_group_igic_cmino","tax_included","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_9_5_cmino",1,"True","purchase","IGIC 9.5% (Retail trade)","IGIC 9,5% (Comercio minorista)","9.5% RT","9.5% CM",6.65,"percent","tax_group_igic_cmino","tax_included","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_15_cmino",1,"True","purchase","IGIC 15% (Retail trade)","IGIC 15% (Comercio minorista)","15% RT","15% CM",10.5,"percent","tax_group_igic_cmino","tax_included","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_20_cmino",1,"True","purchase","IGIC 20% (Retail trade)","IGIC 20% (Comercio minorista)","20% RT","20% CM",14,"percent","tax_group_igic_cmino","tax_included","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_s_igic_ns",1,"True","sale","IGIC Not subject Passed on","IGIC No sujeto Repercutido","NS","NSR",0,"percent","tax_group_igic_0","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_p_ex",1,"True","purchase","IGIC Exempt Supported","IGIC Exento Soportado","EXEMPT S","EXENTO S",0,"percent","tax_group_igic_ex","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_sop_0",1,"True","purchase","IGIC 0% (Goods)","IGIC 0% (Bienes corrientes)","0% G","0% B",0,"percent","tax_group_igic_0","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_sop_3",1,"True","purchase","IGIC 3% (Goods)","IGIC 3% (Bienes corrientes)","3% G","3% B",3,"percent","tax_group_igic_3","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_5",1,"True","purchase","IGIC 5% (Goods)","IGIC 5% (Bienes corrientes)","5% G","5% B",5,"percent","tax_group_igic_3","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_7",1,"True","purchase","IGIC 7% (Goods)","IGIC 7% (Bienes corrientes)","7% G","7% B",7,"percent","tax_group_igic_7","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_9_5",1,"True","purchase","IGIC 9.5% (Goods)","IGIC 9,5% (Bienes corrientes)","9.5% G","9.5% B",9.5,"percent","tax_group_igic_95","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_15",1,"True","purchase","IGIC 15% (Goods)","IGIC 15% (Bienes corrientes)","15% G","15% B",15,"percent","tax_group_igic_15","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_20",1,"True","purchase","IGIC 20% (Goods)","IGIC 20% (Bienes corrientes)","20% G","20% B",20,"percent","tax_group_igic_20","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_0_inv",1,"True","purchase","IGIC 0% (Investment goods)","IGIC 0% (Bienes de inversión)","0% IG","0% BI",0,"percent","tax_group_igic_0","","base","invoice","","","+mod420[28]"
"","","","","","","","","","","","","tax","invoice","","","+mod420[29]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","","","-mod420[35]"
"account_tax_template_igic_sop_3_inv",1,"True","purchase","IGIC 3% (Investment goods)","IGIC 3% (Bienes de inversión)","3% IG","3% BI",3,"percent","tax_group_igic_3","","base","invoice","","","+mod420[28]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[29]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_5_inv",1,"True","purchase","IGIC 5% (Investment goods)","IGIC 5% (Bienes de inversión)","5% IG","3% BI",3,"percent","tax_group_igic_3","","base","invoice","","","+mod420[28]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[29]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_7_inv",1,"True","purchase","IGIC 7% (Investment goods)","IGIC 7% (Bienes de inversión)","7% IG","7% BI",7,"percent","tax_group_igic_7","","base","invoice","","","+mod420[28]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[29]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_9_5_inv",1,"True","purchase","IGIC 9.5% (Investment goods)","IGIC 9,5% (Bienes de inversión)","9.5% IG","9.5% BI",9.5,"percent","tax_group_igic_95","","base","invoice","","","+mod420[28]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[29]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_15_inv",1,"True","purchase","IGIC 15% (Investment goods)","IGIC 15% (Bienes de inversión)","15% IG","15% BI",15,"percent","tax_group_igic_15","","base","invoice","","","+mod420[28]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[29]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_20_inv",1,"True","purchase","IGIC 20% (Investment goods)","IGIC 20% (Bienes de inversión)","20% IG","20% BI",20,"percent","tax_group_igic_20","","base","invoice","","","+mod420[28]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[29]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_0",1,"True","purchase","IGIC 0% Imports (Goods)","IGIC 0% Importaciones (Bienes corrientes)","0% G Import","0% B Import",0,"percent","tax_group_igic_0","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_sop_i_3",1,"True","purchase","IGIC 3% Imports (Goods)","IGIC 3% Importaciones (Bienes corrientes)","3% G Import","3% B Import",3,"percent","tax_group_igic_3","","base","invoice","","","+mod420[30]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[31]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_7",1,"True","purchase","IGIC 7% Imports (Goods)","IGIC 7% Importaciones (Bienes corrientes)","7% G Import","7% B Import",7,"percent","tax_group_igic_7","","base","invoice","","","+mod420[30]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[31]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_9_5",1,"True","purchase","IGIC 9.5% Imports (Goods)","IGIC 9,5% Importaciones (Bienes corrientes)","9.5% G Import","9.5% B Import",9.5,"percent","tax_group_igic_95","","base","invoice","","","+mod420[30]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[31]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_15",1,"True","purchase","IGIC 15% Imports (Goods)","IGIC 15% Importaciones (Bienes corrientes)","15% G Import","15% B Import",15,"percent","tax_group_igic_15","","base","invoice","","","+mod420[30]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[31]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_20",1,"True","purchase","IGIC 20% Imports (Goods)","IGIC 20% Importaciones (Bienes corrientes)","20% G Import","20% B Import",20,"percent","tax_group_igic_20","","base","invoice","","","+mod420[30]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[31]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_0_inv",1,"True","purchase","IGIC 0% Imports (Investment goods)","IGIC 0% Importaciones (Bienes de inversión)","0% IG Import","0% BI Import",0,"percent","tax_group_igic_0","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
"account_tax_template_igic_sop_i_3_inv",1,"True","purchase","IGIC 3% Imports (Investment goods)","IGIC 3% Importaciones (Bienes de inversión)","3% IG Import","3% BI Import",3,"percent","tax_group_igic_3","","base","invoice","","","+mod420[32]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[33]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_7_inv",1,"True","purchase","IGIC 7% Imports (Investment goods)","IGIC 7% Importaciones (Bienes de inversión)","7% IG Import","7% BI Import",7,"percent","tax_group_igic_7","","base","invoice","","","+mod420[32]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[33]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_9_5_inv",1,"True","purchase","IGIC 9.5% Imports (Investment goods)","IGIC 9,5% Importaciones (Bienes de inversión)","9.5% IG Import","9.5% BI Import",9.5,"percent","tax_group_igic_95","","base","invoice","","","+mod420[32]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[33]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_15_inv",1,"True","purchase","IGIC 15% Imports (Investment goods)","IGIC 15% Importaciones (Bienes de inversión)","15% IG Import","15% BI Import",15,"percent","tax_group_igic_15","","base","invoice","","","+mod420[32]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[33]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_sop_i_20_inv",1,"True","purchase","IGIC 20% Imports (Investment goods)","IGIC 20% Importaciones (Bienes de inversión)","20% IG Import","20% BI Import",20,"percent","tax_group_igic_20","","base","invoice","","","+mod420[32]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[33]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_ISP0",1,"True","purchase","IGIC 0% Reverse Charge","IGIC 0% con Inversión del Sujeto Pasivo","0% RC","0% ISP",0,"percent","tax_group_igic_0","","base","invoice","","","+mod420[19]||+mod420[26]"
"","","","","","","","","","","","","tax","invoice","","","+mod420[20]||+mod420[27]"
"","","","","","","","","","","","","tax","invoice","",-100,""
"","","","","","","","","","","","","base","refund","","","-mod420[19]||-mod420[34]"
"","","","","","","","","","","","","tax","refund","","","-mod420[20]||-mod420[35]"
"","","","","","","","","","","","","tax","refund","",-100,""
"account_tax_template_igic_ISP3",1,"True","purchase","IGIC 3% Reverse Charge","IGIC 3% con Inversión del Sujeto Pasivo","3% RC","3% ISP",3,"percent","tax_group_igic_3","","base","invoice","","","+mod420[19]||+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[20]||+mod420[27]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777",-100,""
"","","","","","","","","","","","","base","refund","","","-mod420[19]||-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[20]||-mod420[35]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777",-100,""
"account_tax_template_igic_ISP7",1,"True","purchase","IGIC 7% Reverse Charge","IGIC 7% con Inversión del Sujeto Pasivo","7% RC","7% ISP",7,"percent","tax_group_igic_7","","base","invoice","","","+mod420[19]||+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[20]||+mod420[27]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777",-100,""
"","","","","","","","","","","","","base","refund","","","-mod420[19]||-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[20]||-mod420[35]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777",-100,""
"account_tax_template_igic_ISP95",1,"True","purchase","IGIC 9.5% Reverse Charge","IGIC 9,5% con Inversión del Sujeto Pasivo","9.5% RC","9.5% ISP",9.5,"percent","tax_group_igic_95","","base","invoice","","","+mod420[19]||+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[20]||+mod420[27]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777",-100,""
"","","","","","","","","","","","","base","refund","","","-mod420[19]||-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[20]||-mod420[35]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777",-100,""
"account_tax_template_igic_ISP15",1,"True","purchase","IGIC 15% Reverse Charge","IGIC 15% con Inversión del Sujeto Pasivo","15% RC","15% ISP",15,"percent","tax_group_igic_15","","base","invoice","","","+mod420[19]||+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[20]||+mod420[27]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777",-100,""
"","","","","","","","","","","","","base","refund","","","-mod420[19]||-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[20]||-mod420[35]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777",-100,""
"account_tax_template_igic_ISP20",1,"True","purchase","IGIC 20% Reverse Charge","IGIC 20% con Inversión del Sujeto Pasivo","20% RC","20% ISP",20,"percent","tax_group_igic_20","","base","invoice","","","+mod420[19]||+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[20]||+mod420[27]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4777",-100,""
"","","","","","","","","","","","","base","refund","","","-mod420[19]||-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[20]||-mod420[35]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4777",-100,""
"account_tax_template_igic_p_re0",1,"True","purchase","IGIC 0% (Import surcharge)","IGIC 0%  (Recargo a la importación)","0% IS","0% RI",0,"percent","tax_group_igic_re_0","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","","","-mod420[35]"
"account_tax_template_igic_p_re03",1,"True","purchase","IGIC 0.30% (Import surcharge)","IGIC 0,30%  (Recargo a la importación)","3% IS","3% RI",0.3,"percent","tax_group_igic_re_03","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_p_re07",1,"True","purchase","IGIC 0.7% (Import surcharge)","IGIC 0,7%  (Recargo a la importación)","7% IS","7% RI",0.7,"percent","tax_group_igic_re_07","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_p_re095",1,"True","purchase","IGIC 0.95% (Import surcharge)","IGIC 0,95%  (Recargo a la importación)","9.5% IS","9.5% RI",0.95,"percent","tax_group_igic_re_095","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_p_re15",1,"True","purchase","IGIC 1.5% (Import surcharge)","IGIC 1,5%  (Recargo a la importación)","15% IS","15% RI",1.5,"percent","tax_group_igic_re_15","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_igic_p_re20",1,"True","purchase","IGIC 2% (Import surcharge)","IGIC 2%  (Recargo a la importación)","20% IS","20% RI",2,"percent","tax_group_igic_re_20","","base","invoice","","","+mod420[26]"
"","","","","","","","","","","","","tax","invoice","account_common_canary_4727","","+mod420[27]"
"","","","","","","","","","","","","base","refund","","","-mod420[34]"
"","","","","","","","","","","","","tax","refund","account_common_canary_4727","","-mod420[35]"
"account_tax_template_p_igic_ns",1,"True","purchase","IGIC not subject","IGIC no sujeto","NS","NS",0,"percent","tax_group_igic_0","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","","",""
