"id","name","tax_group_id","amount","amount_type","type_tax_use","description","invoice_label","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@ru"
"l10n_kz_tax_vat_12_sale","12%","tax_group_vat_12","12.0","percent","sale","","VAT 12%","","base","invoice","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","invoice","+I. With the issuance of invoices tax","kz3130",""
"","","","","","","","","","base","refund","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","refund","+I. With the issuance of invoices tax","kz3130",""
"l10n_kz_tax_vat_12_purchase","12%","tax_group_vat_12","12.0","percent","purchase","","VAT 12%","","base","invoice","+On invoices net","",""
"","","","","","","","","","tax","invoice","+On invoices tax","kz1420",""
"","","","","","","","","","base","refund","+On invoices net","",""
"","","","","","","","","","tax","refund","+On invoices tax","kz1420",""
"l10n_kz_tax_vat_0_sale","0%","tax_group_vat_0","0.0","percent","sale","","VAT 0%","","base","invoice","+Sales turnover subject to zero VAT net","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Sales turnover subject to zero VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_0_purchase","0%","tax_group_vat_0","0.0","percent","purchase","","VAT 0%","","base","invoice","+Purchases without VAT net","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Purchases without VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_20_sale","20%","tax_group_vat_20","20.0","percent","sale","20%","","","base","invoice","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","invoice","+I. With the issuance of invoices tax","kz3130",""
"","","","","","","","","","base","refund","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","refund","+I. With the issuance of invoices tax","kz3130",""
"l10n_kz_tax_vat_20_purchase","20%","tax_group_vat_20","20.0","percent","purchase","20%","","","base","invoice","+On invoices net","",""
"","","","","","","","","","tax","invoice","+On invoices tax","kz1420",""
"","","","","","","","","","base","refund","+On invoices net","",""
"","","","","","","","","","tax","refund","+On invoices tax","kz1420",""
"l10n_kz_tax_vat_12_sale_export","12% EX","tax_group_vat_12","12.0","percent","sale","12% EX","Export VAT 12%","","base","invoice","+Turnover - not in the Republic of Kazakhstan net","","12% Экспорт/Импорт"
"","","","","","","","","","tax","invoice","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"","","","","","","","","","base","refund","+Turnover - not in the Republic of Kazakhstan net","",""
"","","","","","","","","","tax","refund","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"l10n_kz_tax_vat_12_purchase_import","12% EX","tax_group_vat_12","12.0","percent","purchase","12% EX","Import VAT 12%","","base","invoice","+Imports from non-EEU states net","","12% Экспорт/Импорт"
"","","","","","","","","","tax","invoice","+Imports from non-EEU states tax","kz1420",""
"","","","","","","","","","base","refund","+Imports from non-EEU states net","",""
"","","","","","","","","","tax","refund","+Imports from non-EEU states tax","kz1420",""
"l10n_kz_tax_vat_0_sale_export","0% EX","tax_group_vat_0","0.0","percent","sale","0% EX","Export VAT 0%","","base","invoice","+Sales turnover subject to zero VAT net","","0% Экспорт"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Sales turnover subject to zero VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_20_sale_export","20% EX","tax_group_vat_20","20.0","percent","sale","20% EX","Export VAT 20%","","base","invoice","+Turnover - not in the Republic of Kazakhstan net","","20% Экспорт/Импорт"
"","","","","","","","","","tax","invoice","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"","","","","","","","","","base","refund","+Turnover - not in the Republic of Kazakhstan net","",""
"","","","","","","","","","tax","refund","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"l10n_kz_tax_vat_20_purchase_import","20% EX","tax_group_vat_20","20.0","percent","purchase","20% EX","Import VAT 20%","","base","invoice","+Imports from non-EEU states net","","20% Экспорт/Импорт"
"","","","","","","","","","tax","invoice","+Imports from non-EEU states tax","kz1420",""
"","","","","","","","","","base","refund","+Imports from non-EEU states net","",""
"","","","","","","","","","tax","refund","+Imports from non-EEU states tax","kz1420",""
"l10n_kz_tax_vat_12_purchase_non_resident","12% S NR","tax_group_vat_12","12.0","percent","purchase","12% S Non-resident","Non-resident VAT 12%","service","base","invoice","+Works, services purchased from a non-resident net","","12% С. Нерезиденты"
"","","","","","","","","","tax","invoice","+Works, services purchased from a non-resident tax","kz1420",""
"","","","","","","","","","base","refund","+Works, services purchased from a non-resident net","",""
"","","","","","","","","","tax","refund","+Works, services purchased from a non-resident tax","kz1420",""
"l10n_kz_tax_vat_20_purchase_non_resident","20% S NR","tax_group_vat_20","20.0","percent","purchase","20% S Non-resident","Non-resident VAT 20%","service","base","invoice","+Works, services purchased from a non-resident net","","20% С. Нерезиденты"
"","","","","","","","","","tax","invoice","+Works, services purchased from a non-resident tax","kz1420",""
"","","","","","","","","","base","refund","+Works, services purchased from a non-resident net","",""
"","","","","","","","","","tax","refund","+Works, services purchased from a non-resident tax","kz1420",""
"l10n_kz_tax_vat_12_sale_eeu","12% EEU","tax_group_vat_12","12.0","percent","sale","12% EEU","Euroasian Economic Union VAT 12%","","base","invoice","+Turnover - not in the Republic of Kazakhstan net","","12% ЕАЭС"
"","","","","","","","","","tax","invoice","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"","","","","","","","","","base","refund","+Turnover - not in the Republic of Kazakhstan net","",""
"","","","","","","","","","tax","refund","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"l10n_kz_tax_vat_12_purchase_eeu","12% EEU","tax_group_vat_12","12.0","percent","purchase","12% EEU","Euroasian Economic Union VAT 12%","","base","invoice","+Imports from member states of the EEU net","","12% ЕАЭС"
"","","","","","","","","","tax","invoice","+Imports from member states of the EEU tax","kz1420",""
"","","","","","","","","","base","refund","+Imports from member states of the EEU net","",""
"","","","","","","","","","tax","refund","+Imports from member states of the EEU tax","kz1420",""
"l10n_kz_tax_vat_0_sale_eeu","0% EEU","tax_group_vat_0","0.0","percent","sale","0% EEU","Euroasian Economic Union VAT 0%","","base","invoice","+Sales turnover subject to zero VAT net","","0% ЕАЭС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Sales turnover subject to zero VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_20_sale_eeu","20% EEU","tax_group_vat_20","20.0","percent","sale","20% EEU","Euroasian Economic Union VAT 20%","","base","invoice","+Turnover - not in the Republic of Kazakhstan net","","20% ЕАЭС"
"","","","","","","","","","tax","invoice","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"","","","","","","","","","base","refund","+Turnover - not in the Republic of Kazakhstan net","",""
"","","","","","","","","","tax","refund","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"l10n_kz_tax_vat_20_purchase_eeu","20% EEU","tax_group_vat_20","20.0","percent","purchase","20% EEU","Euroasian Economic Union VAT 20%","","base","invoice","+Imports from member states of the EEU net","","20% ЕАЭС"
"","","","","","","","","","tax","invoice","+Imports from member states of the EEU tax","kz1420",""
"","","","","","","","","","base","refund","+Imports from member states of the EEU net","",""
"","","","","","","","","","tax","refund","+Imports from member states of the EEU tax","kz1420",""
"l10n_kz_tax_vat_exempt_sale","0% EXEMPT","tax_group_vat_exempt","0.0","percent","sale","Exempt","VAT Exempt","","base","invoice","+Turnover exempt from VAT net","","Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Turnover exempt from VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_purchase","0% EXEMPT","tax_group_vat_exempt","0.0","percent","purchase","Exempt","VAT Exempt","","base","invoice","+Purchases without VAT net","","Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Purchases without VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_sale_export","0% EXEMPT EX","tax_group_vat_exempt","0.0","percent","sale","Exempt EX","Export VAT Exempt","","base","invoice","+Turnover exempt from VAT net","","Экспорт/Импорт Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Turnover exempt from VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_purchase_import","0% EXEMPT EX","tax_group_vat_exempt","0.0","percent","purchase","Exempt EX","Import VAT Exempt","","base","invoice","+Exempted imports of goods net","","Экспорт/Импорт Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Exempted imports of goods net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_sale_eeu","0% EXEMPT EEU","tax_group_vat_exempt","0.0","percent","sale","Exempt EEU","Euroasian Economic Union VAT Exempt","","base","invoice","+Turnover exempt from VAT net","","ЕАЭС Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Turnover exempt from VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_purchase_eeu","0% EXEMPT EEU","tax_group_vat_exempt","0.0","percent","purchase","Exempt EEU","Euroasian Economic Union VAT Exempt","","base","invoice","+Exempted imports of goods net","","ЕАЭС Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Exempted imports of goods net","",""
"","","","","","","","","","tax","refund","","",""
