"id","name","sequence","country_id","name@es"
"tax_group_igv","IGV","0","base.pe","IGV"
"tax_group_igv_g_ng","IGV GyNG","0","base.pe","IGV GyNG"
"tax_group_igv_ng","IGV NG","0","base.pe","IGV NG"
"tax_group_ivap","IVAP","0","base.pe","IVAP"
"tax_group_isc","ISC","0","base.pe","ISC"
"tax_group_exp","EXP","0","base.pe","EXP"
"tax_group_gra","GRA","0","base.pe","GRA"
"tax_group_exo","EXO","0","base.pe","EXO"
"tax_group_ina","INA","0","base.pe","INA"
"tax_group_other","OTHERS","0","base.pe","OTROS"
"tax_group_det","DET","100","base.pe","DET"
"tax_group_icbper","ICBPER","0","base.pe",""
"tax_group_ret","RET","100","base.pe","RET"