"id","sequence","invoice_label","description","name","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@sl"
"gd_taxr_1","30","0%","0% output VAT - deductible","0% D","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 0% - s pravico do odbitka"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxr_2","20","9,5%","9.5% output VAT - goods","9.5% G","9.50","percent","sale","tax_group_95","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 9,5% - blago"
"","","","","","","","","","","100.00","tax","invoice","+22||+ir_15a","gd_acc_260010",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","-22||-ir_15a","gd_acc_260010",""
"gd_taxr_3","10","22%","22% Output VAT - goods","22% G","22.00","percent","sale","tax_group_22","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 22% - blago"
"","","","","","","","","","","100.00","tax","invoice","+21||+ir_14","gd_acc_260000",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","-21||-ir_14","gd_acc_260000",""
"gd_taxp_1","60","0%","0% input VAT - does not go on the books","0% Not in Books","0.00","percent","purchase","tax_group_0","","100.00","base","invoice","","","Vstopni DDV 0% - ne gre v knjigo"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxp_2","50","9,5%","Input VAT 9.5% - goods","9.5% G","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 9,5% - blago"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160010",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19","gd_acc_160010",""
"gd_taxp_3","40","22%","22% input VAT - goods","22% G","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 22% - blago"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160000",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160000",""
"gd_taxp_nr_1","70","9,5%","9.5% input VAT - non-deductible - goods","9.5% ND G","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 9,5% - neodbitni - blago"
"","","","","","","","","","","100.00","tax","invoice","+pr_17b","",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-pr_17b","",""
"gd_taxp_nr_2","80","22%","22% input VAT - non-deductible - goods","22% ND G","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 22% - neodbitni - blago"
"","","","","","","","","","","100.00","tax","invoice","+pr_17a","",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-pr_17a","",""
"gd_taxp_st_1","90","9,5%","Input VAT 9.5% - self-assessment Article 76a","9.5% Art. 76a","9.50","percent","purchase","tax_group_rc_95","","100.00","base","invoice","+31a||+ir_25c||+pr_9","","Vstopni DDV 9,5% - samoobdavčitev 76.a člen"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160470",""
"","","","","","","","","","","-100.00","tax","invoice","-25a||-ir_21a","gd_acc_260470",""
"","","","","","","","","","","100.00","base","refund","-31a||-ir_25c||-pr_9","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19","gd_acc_160470",""
"","","","","","","","","","","-100.00","tax","refund","+25a||+ir_21a","gd_acc_260470",""
"gd_taxp_st_2","100","22%","22% input VAT - self-assessment Article 76a","22% Art. 76a","22.00","percent","purchase","tax_group_rc_22","","100.00","base","invoice","+31a||+ir_25c||+pr_9","","Vstopni DDV 22% - samoobdavčitev 76.a člen"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160460",""
"","","","","","","","","","","-100.00","tax","invoice","-25||-ir_20","gd_acc_260460",""
"","","","","","","","","","","100.00","base","refund","-31a||-ir_25c||-pr_9","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160460",""
"","","","","","","","","","","-100.00","tax","refund","+25||+ir_20","gd_acc_260460",""
"gd_taxe_out_0_no_no_1","110","0%","0% output VAT - other exemptions","0% O Exempt","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 0% - druge oprostitve"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_out_0_no_no_2","110","0%","0% output VAT - does not go on the books","0% Not in books","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 0% - ne gre v knjigo"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_out_0_eu_goods_1","130","0%","0% EU output VAT  - Goods","0% EU G","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+12||+ir_10a||rp_a3","","Izstopni DDV 0% EU - blago"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-12||-ir_10a||rp_a3","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_out_0_eu_goods_2","140","0%","0% EU output VAT - customs procedure Articles 42 and 43 - goods","0% EU G Art. 42-43","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+12||+ir_10b||rp_a4","","Izstopni DDV 0% EU - carinski postopek 42. in 43. člen - blago"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-12||-ir_10b||rp_a4","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_out_0_eu_goods_3","150","0%","0% EU output VAT - triangular supplies - goods","0% EU G Tri","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+12||+ir_11||rp_a5","","Izstopni DDV 0% EU - tristranske dobave - blago"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-12||-ir_11||rp_a5","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_out_0_3w_goods_1","170","0%","0% Export VAT 3rd world - goods","0% EX G","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 0% 3. svet - blago"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_out_0_eu_service_1","180","0%","0% EU output VAT - services","0% EU S","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+12||+ir_10d||rp_a6","","Izstopni DDV 0% EU - storitev"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-12||-ir_10d||rp_a6","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_out_0_3w_service_1","200","0%","0% output VAT 3rd world - services","0% EX S","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+ir_23","","Izstopni DDV 0% 3. svet - storitev"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-ir_23","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_out_95_no_service_1","210","9,5%","9.5% output VAT - services","9.5% S","9.50","percent","sale","tax_group_95","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 9,5% - storitev"
"","","","","","","","","","","100.00","tax","invoice","+22||+ir_15a","gd_acc_260010",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","-22||-ir_15a","gd_acc_260010",""
"gd_taxe_out_22_no_service_1","220","22%","22% output VAT - services","22% S","22.00","percent","sale","tax_group_22","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 22% - storitev"
"","","","","","","","","","","100.00","tax","invoice","+21||+ir_14","gd_acc_260000",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","-21||-ir_14","gd_acc_260000",""
"gd_taxe_out_8_no_goods_1","230","8%","Export VAT 8%","8%","8.00","percent","sale","tax_group_8","","100.00","base","invoice","","","Izstopni DDV 8%"
"","","","","","","","","","","100.00","tax","invoice","","gd_acc_260500",""
"","","","","","","","","","","100.00","base","refund","","",""
"","","","","","","","","","","100.00","tax","refund","","gd_acc_260500",""
"gd_taxe_out_5_no_service_1","250","5%","Export VAT 5% - services","5% S","5.00","percent","sale","tax_group_5","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 5% - storitev"
"","","","","","","","","","","100.00","tax","invoice","+22a||+ir_15b","gd_acc_260020",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","-22a||-ir_15b","gd_acc_260020",""
"gd_taxe_out_22_no_no_1","260","22%","22% output VAT - self-assessment Article 76","22% RC Art. 76","22.00","percent","sale","tax_group_rc_22","","100.00","base","invoice","+11a||+ir_8||+pd_a3","","Izstopni DDV 22% - samoobdavčitev 76. člen"
"","","","","","","","","","","0.00","tax","invoice","","gd_acc_260460",""
"","","","","","","","","","","100.00","base","refund","-11a||-ir_8||-pd_a3","",""
"","","","","","","","","","","0.00","tax","refund","","gd_acc_260460",""
"gd_taxe_out_95_no_no_1","270","9,5%","Export VAT 9.5% - self-assessment Article 76","9.5% RC Art. 76","9.50","percent","sale","tax_group_rc_95","","100.00","base","invoice","+11a||+ir_8||+pd_a3","","Izstopni DDV 9,5% - samoobdavčitev 76. člen"
"","","","","","","","","","","0.00","tax","invoice","","gd_acc_260470",""
"","","","","","","","","","","100.00","base","refund","-11a||-ir_8||-pd_a3","",""
"","","","","","","","","","","0.00","tax","refund","","gd_acc_260470",""
"gd_taxe_out_5_no_no_1","280","5%","Export VAT 5% - self-assessment Article 76","5% RC Art. 76","5.00","percent","sale","tax_group_rc_5","","100.00","base","invoice","+11a||+ir_8||+pd_a3","","Izstopni DDV 5% - samoobdavčitev 76. člen"
"","","","","","","","","","","0.00","tax","invoice","","gd_acc_260020",""
"","","","","","","","","","","100.00","base","refund","-11a||-ir_8||-pd_a3","",""
"","","","","","","","","","","0.00","tax","refund","","gd_acc_260020",""
"gd_taxe_in_95_no_service_1","290","9,5%","9.5% input VAT - services","9.5% S","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 9,5% - storitev"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160010",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19","gd_acc_160010",""
"gd_taxe_in_22_no_service_1","300","22%","22% input VAT - services","22% S","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 22% - storitev"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160000",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160000",""
"gd_taxe_in_95_no_service_2","310","9,5%","9.5% input VAT - non-deductible - services","9.5% ND S","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 9,5% - neodbitni - storitev"
"","","","","","","","","","","100.00","tax","invoice","+pr_17b","",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-pr_17b","",""
"gd_taxe_in_22_no_service_2","320","22%","22% input VAT - non-deductible - services","22% ND S","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 22% - neodbitni - storitev"
"","","","","","","","","","","100.00","tax","invoice","+pr_17a","",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-pr_17a","",""
"gd_taxe_in_8_no_no_1","330","8%","Input VAT 8% - non-deductible","8% ND","8.00","percent","purchase","tax_group_8","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 8% - neodbitni"
"","","","","","","","","","","100.00","tax","invoice","+pr_17c","",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-pr_17c","",""
"gd_taxe_in_5_no_service_1","350","5%","Input VAT 5% - non-deductible - services","5% ND S","5.00","percent","purchase","tax_group_5","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 5% - neodbitni - storitev"
"","","","","","","","","","","100.00","tax","invoice","+pr_17c","",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-pr_17c","",""
"gd_taxe_in_5_no_service_2","370","5%","Input VAT 5% - services","5% S","5.00","percent","purchase","tax_group_5","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 5% - storitev"
"","","","","","","","","","","100.00","tax","invoice","+42a||+pr_19a","gd_acc_160020",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-42a||-pr_19a","gd_acc_160020",""
"gd_taxe_in_8_no_no_2","380","8%","Input VAT 8%","8%","8.00","percent","purchase","tax_group_8","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 8%"
"","","","","","","","","","","100.00","tax","invoice","+43||+pr_20","gd_acc_160500",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-43||-pr_20","gd_acc_160500",""
"gd_taxe_in_5_no_no_1","390","5%","Input VAT 5% - self-assessment Article 76a","5% Art. 76a","5.00","percent","purchase","tax_group_rc_5","","100.00","base","invoice","+31a||+ir_25c||+pr_9","","Vstopni DDV 5% - samoobdavčitev 76.a člen"
"","","","","","","","","","","100.00","tax","invoice","+42a||+pr_19a","gd_acc_160020",""
"","","","","","","","","","","-100.00","tax","invoice","-25b||-ir_21b","gd_acc_260020",""
"","","","","","","","","","","100.00","base","refund","-31a||-ir_25c||-pr_9","",""
"","","","","","","","","","","100.00","tax","refund","-42a||-pr_19a","gd_acc_160020",""
"","","","","","","","","","","-100.00","tax","refund","+25b||+ir_21b","gd_acc_260020",""
"gd_taxe_in_0_no_no_1","400","0%","0% input VAT - exempt","0% Exempt","0.00","percent","purchase","tax_group_0","","100.00","base","invoice","+33||+pr_14","","Vstopni DDV 0% - oproščeno"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-33||-pr_14","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxe_in_22_eu_service","410","22%","22% EU input VAT - self-assessment - non-deductible - services","22% EU ND S","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+32a||+ir_25b||+pr_11","","Vstopni DDV 22% EU - samoobdavčitev - neodbitni - storitve"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","-100.00","tax","invoice","-23a||-ir_17","gd_acc_260430",""
"","","","","","","","","","","100.00","base","refund","-32a||-ir_25b||+pr_11","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"","","","","","","","","","","-100.00","tax","refund","+23a||+ir_17","gd_acc_260430",""
"gd_taxe_in_22_eu_goods_1","420","22%","22% EU input VAT - goods","22% EU G","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+32||+ir_25a||+pr_10","","Vstopni DDV 22% EU - blago"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160400",""
"","","","","","","","","","","-100.00","tax","invoice","-23||-ir_16","gd_acc_260400",""
"","","","","","","","","","","100.00","base","refund","-32||-ir_25a||+pr_10","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160400",""
"","","","","","","","","","","-100.00","tax","refund","+23||+ir_16","gd_acc_260400",""
"gd_taxe_in_22_3w_service_1","430","22%","Input VAT 22% 3rd world - services","22% EX S","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+ir_25d||+pr_8b","","Vstopni DDV 22% 3. svet - storitve"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160301",""
"","","","","","","","","","","-100.00","tax","invoice","-25||-ir_20","gd_acc_260301",""
"","","","","","","","","","","100.00","base","refund","-31||-ir_25d||-pr_8b","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160301",""
"","","","","","","","","","","-100.00","tax","refund","+25||+ir_20","gd_acc_260301",""
"gd_taxe_in_22_3w_goods_1","440","22%","Input VAT 22% 3rd world - goods","22% EX G","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+ir_25d||+pr_8b","","Vstopni DDV 22% 3. svet - blago"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160300",""
"","","","","","","","","","","-100.00","tax","invoice","-26||-ir_22","gd_acc_260300",""
"","","","","","","","","","","100.00","base","refund","-31||-ir_25d||-pr_8b","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160300",""
"","","","","","","","","","","-100.00","tax","refund","+26||+ir_22","gd_acc_260300",""
"gd_taxe_in_95_eu_goods_1","460","9,5%","9.5% EU input VAT - goods","9.5% EU G","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+32||+ir_25a||+pr_10","","Vstopni DDV 9,5% EU - blago"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160410",""
"","","","","","","","","","","-100.00","tax","invoice","-24||-ir_18a","gd_acc_260410",""
"","","","","","","","","","","100.00","base","refund","-32||-ir_25a||-pr_10","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19a","gd_acc_160410",""
"","","","","","","","","","","-100.00","tax","refund","+24||+ir_18a","gd_acc_260410",""
"gd_taxe_in_95_3w_goods_1","470","9,5%","Entry VAT 9.5% 3rd world - goods","9.5% EX G","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+ir_25d||+pr_8b","","Vstopni DDV 9,5% 3. svet - blago"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160310",""
"","","","","","","","","","","-100.00","tax","invoice","-26||-ir_22a","gd_acc_260310",""
"","","","","","","","","","","100.00","base","refund","-31||-ir_25d||-pr_8b","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19","gd_acc_160310",""
"","","","","","","","","","","-100.00","tax","refund","+26||+ir_22a","gd_acc_260310",""
"gd_taxe_in_95_3w_service_1","480","9,5%","Input VAT 9.5% 3rd World - services","9.5% EX S","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+ir_25d||+pr_8b","","Vstopni DDV 9,5% 3. svet - storitve"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160311",""
"","","","","","","","","","","-100.00","tax","invoice","-25a||-ir_21a","gd_acc_260311",""
"","","","","","","","","","","100.00","base","refund","-31||-ir_25d||-pr_8b","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19","gd_acc_160311",""
"","","","","","","","","","","-100.00","tax","refund","+25a||+ir_21a","gd_acc_260311",""
"gd_taxe_in_5_3w_goods_1","490","5%","Entry VAT 5% 3rd world - goods","5% EX G","5.00","percent","purchase","tax_group_5","","100.00","base","invoice","+31||+ir_25d||+pr_8b","","Vstopni DDV 5% 3. svet - blago"
"","","","","","","","","","","100.00","tax","invoice","+42a||+pr_19a","gd_acc_160320",""
"","","","","","","","","","","-100.00","tax","invoice","-26||-ir_22b","gd_acc_260320",""
"","","","","","","","","","","100.00","base","refund","-31||-ir_25d||-pr_8b","",""
"","","","","","","","","","","100.00","tax","refund","-42a||-pr_19a","gd_acc_160320",""
"","","","","","","","","","","-100.00","tax","refund","+26||+ir_22b","gd_acc_260320",""
"l10n_si_vat_5_sale","510","5%","Export VAT 5% - goods","5% G","5.00","percent","sale","tax_group_5","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 5% - blago"
"","","","","","","","","","","100.00","tax","invoice","+22a||+ir_15b","gd_acc_260020",""
"","","","","","","","","","","100.00","base","refund","-11||+ir_7","",""
"","","","","","","","","","","100.00","tax","refund","-22a||-ir_15b","gd_acc_260020",""
"l10n_si_vat_22_sale_distance","550","0%","0% EU output VAT - distance selling - goods","0% EU D S G","0.00","percent","sale","tax_group_22","","100.00","base","invoice","+13||+ir_12","","Izstopni DDV 0% EU - prodaja na daljavo - blago"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-13||-ir_12","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"l10n_si_vat_22_sale_installation_eu","580","0%","0% EU output VAT - assembly - service","0% EU A S","0.00","percent","sale","tax_group_22","","100.00","base","invoice","+14||+ir_13","","Izstopni DDV 0% EU - montaža - storitev"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-14||-ir_13","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"l10n_si_vat_0_sale_no_deduction","610","0%","0% output VAT - no right to deduct","0% ND","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+15||+ir_9","","Izstopni DDV 0% - brez pravice do odbitka"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-15||-ir_9","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"l10n_si_vat_5_purchase","700","5%","Input VAT 5% - goods","5% G","5.00","percent","purchase","tax_group_5","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 5% - blago"
"","","","","","","","","","","100.00","tax","invoice","+42a||+pr_19a","gd_acc_160020",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-42a||-pr_19a","gd_acc_160020",""
"l10n_si_vat_5_purchase_non_deductible","710","5%","Input VAT 5% - non-deductible - goods","5% ND G","5.00","percent","purchase","tax_group_5","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 5% - neodbitni - blago"
"","","","","","","","","","","100.00","tax","invoice","+pr_17c","",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-pr_17c","",""
"l10n_si_vat_5_purchase_goods_eu","720","5%","5% EU input VAT - goods","5% EU G","5.00","percent","purchase","tax_group_5","","100.00","base","invoice","+32||+ir_25a||+pr_10","","Vstopni DDV 5% EU - blago"
"","","","","","","","","","","100.00","tax","invoice","+42a||+pr_19","gd_acc_160420",""
"","","","","","","","","","","-100.00","tax","invoice","-24b||-ir_18b","gd_acc_260420",""
"","","","","","","","","","","100.00","base","refund","-32||-ir_25a||-pr_10","",""
"","","","","","","","","","","100.00","tax","refund","-42a||-pr_19a","gd_acc_160420",""
"","","","","","","","","","","-100.00","tax","refund","+24b||+ir_18b","gd_acc_260420",""
"l10n_si_vat_22_purchase_services_eu","730","22%","22% EU input VAT - services","22% EU S","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+32a||+ir_25b||+pr_11","","Vstopni DDV 22% EU - storitve"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160430",""
"","","","","","","","","","","-100.00","tax","invoice","-23a||-ir_17","gd_acc_260430",""
"","","","","","","","","","","100.00","base","refund","-32a||-ir_25b||-pr_11","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160430",""
"","","","","","","","","","","-100.00","tax","refund","+23a||+ir_17","gd_acc_260430",""
"l10n_si_vat_9_purchase_services_eu","740","9,5%","9.5% EU input VAT - services","9.5% EU S","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+32a||+ir_25b||+pr_11","","Vstopni DDV 9,5% EU - storitve"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19a","gd_acc_160440",""
"","","","","","","","","","","-100.00","tax","invoice","-24a||-ir_19a","gd_acc_260440",""
"","","","","","","","","","","100.00","base","refund","-32a||-ir_25b||-pr_11","",""
"","","","","","","","","","","100.00","tax","refund","-42||+pr_19a","gd_acc_160440",""
"","","","","","","","","","","-100.00","tax","refund","+24a||-ir_19a","gd_acc_260440",""
"l10n_si_vat_22_purchase_estate","760","22%","22% input VAT - real estate","22% RE","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+34||+pr_8a||+pr_12","","Vstopni DDV 22% - nepremičnine"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160000",""
"","","","","","","","","","","100.00","base","refund","-31||-34||-pr_8a||-pr_12","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160000",""
"l10n_si_vat_9_purchase_estate","770","9,5%","9.5% input VAT - real estate","9.5% RE","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+34||+pr_8a||+pr_12","","Vstopni DDV 9,5% - nepremičnine"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160000",""
"","","","","","","","","","","100.00","base","refund","-31||-34||-pr_8a||-pr_12","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19","gd_acc_160000",""
"l10n_si_vat_22_purchase_fixed","820","22%","22% input VAT - fixed assets","22% FA","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+35||+pr_8a||+pr_13","","Vstopni DDV 22% - osnovna sredstva"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160000",""
"","","","","","","","","","","100.00","base","refund","-31||-35||-pr_8a||-pr_13","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160000",""
"l10n_si_vat_9_purchase_fixed","830","9,5%","9.5% input VAT - fixed assets","9.5% FA","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+35||+pr_8a||+pr_13","","Vstopni DDV 9,5% - osnovna sredstva"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160000",""
"","","","","","","","","","","100.00","base","refund","-31||-35||-pr_8a||-pr_13","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19","gd_acc_160000",""
"l10n_si_vat_5_purchase_fixed","840","5%","Input VAT 5% - fixed assets","5% FA","5.00","percent","purchase","tax_group_5","","100.00","base","invoice","+31||+35||+pr_8a||+pr_13","","Vstopni DDV 5% - osnovna sredstva"
"","","","","","","","","","","100.00","tax","invoice","+42a||+pr_19a","gd_acc_160000",""
"","","","","","","","","","","100.00","base","refund","-31||-35||-pr_8a||-pr_13","",""
"","","","","","","","","","","100.00","tax","refund","-42a||-pr_19a","gd_acc_160000",""
