"id","code_prefix_start","name","name@vi"
"l10n_vn_group_111","111","Cash","Tiền mặt"
"l10n_vn_group_112","112","Demand Deposit","Tiền gửi không kỳ hạn"
"l10n_vn_group_113","113","Money in transit","Tiền đang chuyển"
"l10n_vn_group_121","121","Trading Securities","Chứng khoán kinh doanh"
"l10n_vn_group_128","128","Investment held to maturity","Đầu tư nắm giữ đến ngày đáo hạn"
"l10n_vn_group_1281","1281","Time Deposits","Tiền gửi có kỳ hạn"
"l10n_vn_group_1282","1282","Bonds","Trái phiếu"
"l10n_vn_group_1283","1283","Loan","Cho vay"
"l10n_vn_group_1288","1288","Securities and other financial instruments","Các khoản đầu tư khác nắm giữ đến ngày đáo hạn"
"l10n_vn_group_131","131","Trade receivables","Phải thu của khách hàng"
"l10n_vn_group_133","133","Deductible VAT","Thuế GTGT được khấu trừ"
"l10n_vn_group_136","136","Internal Receivables","Phải thu nội bộ"
"l10n_vn_group_1361","1361","Working capital provided to sub-units","Vốn kinh doanh ở các đơn vị trực thuộc"
"l10n_vn_group_1362","1362","Internal receivables on foreign exchange difference","Phải thu nội bộ về chênh lệch tỷ giá"
"l10n_vn_group_1363","1363","Internal receivables on borrowing costs eligible for capitalization","Phải thu nội bộ về chi phí đi vay đủ điều kiện được vốn hoá"
"l10n_vn_group_1368","1368","Other internal receivables ","Phải thu nội bộ khác"
"l10n_vn_group_138","138","Other receivables","Phải thu khác"
"l10n_vn_group_1381","1381","Shortage of assets awaiting resolution","Tài sản thiếu chờ xử lý"
"l10n_vn_group_1383","1383","Special consumption tax of imported goods","Thuế TTĐB của hàng nhập khẩu"
"l10n_vn_group_1388","1388","Other receivables","Phải thu khác"
"l10n_vn_group_141","141","Advances","Tạm ứng"
"l10n_vn_group_151","151","Goods in transit","Hàng mua đang đi đường"
"l10n_vn_group_152","152","Raw materials","Nguyên liệu, vật liệu"
"l10n_vn_group_153","153","Tools & supplies","Công cụ, dụng cụ"
"l10n_vn_group_154","154","Work in Progress","Chi phí sản xuất, kinh doanh dở dang"
"l10n_vn_group_155","155","Finished Goods","Sản phẩm"
"l10n_vn_group_156","156","Goods","Hàng hoá"
"l10n_vn_group_157","157","Outward goods on consignment","Hàng gửi đi bán"
"l10n_vn_group_158","158","Goods in bonded warehouse","Hàng hóa kho bảo thuế"
"l10n_vn_group_171","171","Government bonds purchase-resale","Giao dịch mua bán lại trái phiếu chính phủ"
"l10n_vn_group_211","211","Tangile fixed assets","Tài sản cố định hữu hình"
"l10n_vn_group_212","212","Financial leased tangible fixed assets","Tài sản cố định thuê tài chính"
"l10n_vn_group_213","213","Intangible fixed assets","Tài sản cố định vô hình"
"l10n_vn_group_214","214","Depreciation of fixed assets","Hao mòn TSCĐ"
"l10n_vn_group_215","215","Biology Asset","Tài sản sinh học"
"l10n_vn_group_2151","2151","Livestock for periodic production","Súc vật nuôi cho sản phẩm định kỳ"
"l10n_vn_group_21512","21512","Livestock for periodic production that have not yet reached maturity","Súc vật nuôi cho sản phẩm định kỳ  đạt đến giai đoạn trưởng thành"
"l10n_vn_group_217","217","Investment properties","Bất động sản đầu tư"
"l10n_vn_group_221","221","Investment in subsidiaries","Đầu tư vào công ty con"
"l10n_vn_group_222","222","Investment in joint ventures and associates","Đầu tư vào công ty liên doanh, liên kết"
"l10n_vn_group_228","228","Other Investment","Đầu tư khác"
"l10n_vn_group_229","229","Provision for asset loss","Dự phòng tổn thất tài sản"
"l10n_vn_group_2293","2293","Provision for doubtful debts","Dự phòng phải thu khó đòi"
"l10n_vn_group_2294","2294","Provision for reserve inventories","Dự phòng giảm giá hàng tồn kho"
"l10n_vn_group_241","241","Construction in progress","Xây dựng cơ bản dở dang"
"l10n_vn_group_242","242","Expenses waiting for allocation ","Chi phí chờ phân bổ"
"l10n_vn_group_243","243","Deferred tax assets","Tài sản thuế thu nhập hoãn lại"
"l10n_vn_group_244","244","Deposits","Ký quỹ, ký cược"
"l10n_vn_group_331","331","Trade payables","Phải trả cho người bán"
"l10n_vn_group_332","332","Divident payable","Phải trả cổ tức, lợi nhuận"
"l10n_vn_group_333","333","Taxes and amount payable to Government","Thuế và các khoản phải nộp Nhà nước"
"l10n_vn_group_3331","3331","VAT payable","Thuế GTGT phải nộp"
"l10n_vn_group_3338","3338","Environment protection tax and other taxes","Thuế bảo vệ mội trường và các loại thuế khác"
"l10n_vn_group_334","334","Employees payable","Phải trả người lao động"
"l10n_vn_group_335","335","Accrued expenses","Chi phí phải trả"
"l10n_vn_group_336","336","Internal Payables","Phải trả nội bộ"
"l10n_vn_group_3362","3362","Internal payables for foreign exchange differences","Phải trả nội bộ về chênh lệch tỉ giá"
"l10n_vn_group_3363","3363","Internal payables for borrowing costs eligible for capitalization","Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá"
"l10n_vn_group_3368","3368","Other internal payables","Phải trả nội bộ khác"
"l10n_vn_group_337","337","Progress billings for construction contracts","Thanh toán theo tiến độ hợp đồng xây dựng"
"l10n_vn_group_338","338","Other payables","Phải trả, phải nộp khác"
"l10n_vn_group_3381","3381","Surplus of assets awaiting for resolution","Tài sản thừa chờ giải quyết"
"l10n_vn_group_3382","3382","Trade union fees","Kinh phí công đoàn"
"l10n_vn_group_3383","3383","Social insurance","Bảo hiểm xã hội"
"l10n_vn_group_3384","3384","Health insurance","Bảo hiểm y tế"
"l10n_vn_group_3385","3385","Payables on equilization","Phải trả về cổ phần hoá"
"l10n_vn_group_3386","3386","Unemployment insurance","Bảo hiểm thất nghiệp"
"l10n_vn_group_3387","3387","Unearned revenue","Doanh thu chưa thực hiện"
"l10n_vn_group_3388","3388","Other payables","Phải trả, phải nộp khác"
"l10n_vn_group_341","341","Borrowings and financial lease","Vay và nợ thuê tài chính"
"l10n_vn_group_3411","3411","Borrowings","Các khoản đi vay"
"l10n_vn_group_3412","3412","Financial leased liabilities","Nợ thuê tài chính"
"l10n_vn_group_343","343","Issued bonds","Trái phiếu phát hành"
"l10n_vn_group_344","344","Deposits received ","Nhận ký quỹ, ký cược"
"l10n_vn_group_347","347","Deferred tax liabilities","Thuế thu nhập hoãn lại phải trả"
"l10n_vn_group_352","352","Provisions payable","Dự phòng phải trả"
"l10n_vn_group_3521","3521","Product warranty provisions","Dự phòng bảo hành sản phẩm hàng hoá"
"l10n_vn_group_3522","3522","Construction warranty provisions","Dự phòng bảo hành công trình xây dựng"
"l10n_vn_group_3523","3523","Enterprise restructuring provisions","Dự phòng tái cơ cấu doanh nghiệp"
"l10n_vn_group_3525","3525","Other provisions","Dự phòng phải trả khác"
"l10n_vn_group_353","353","Bonus and Welfare fund","Quỹ khen thưởng, phúc lợi"
"l10n_vn_group_356","356","Science and technology development fund","Quỹ phát triển khoa học và công nghệ"
"l10n_vn_group_357","357","Price stabilization fund","Quỹ bình ổn giá"
"l10n_vn_group_411","411","Owner's equity","Vốn đầu tư của chủ sở hữu"
"l10n_vn_group_4111","4111","Contributed Capital","Vốn góp của chủ sở hữu"
"l10n_vn_group_412","412","Revaluation differences on asset","Chênh lệch đánh giá lại tài sản"
"l10n_vn_group_413","413","Exchange rate differences ","Chênh lệch tỷ giá hối đoái"
"l10n_vn_group_414","414","Investment & development fund","Quỹ đầu tư phát triển"
"l10n_vn_group_418","418","Other equity funds","Các quỹ khác thuộc vốn chủ sở hữu"
"l10n_vn_group_419","419","Stocks bought from oneself","Cổ phiếu mua lại của chính mình"
"l10n_vn_group_421","421","Undistributed profit after tax","Lợi nhuận sau thuế chưa phân phối"
"l10n_vn_group_511","511","Revenue from sales and services","Doanh thu bán hàng và cung cấp dịch vụ"
"l10n_vn_group_515","515","Financial income","Doanh thu hoạt động tài chính"
"l10n_vn_group_521","521","Sales discounts","Các khoản giảm trừ doanh thu"
"l10n_vn_group_621","621","Direct raw material costs","Chi phí nguyên liệu, vật liệu trực tiếp"
"l10n_vn_group_622","622","Direct labour costs","Chi phí nhân công trực tiếp"
"l10n_vn_group_627","627","Manufacturing overhead cost","Chi phí sản xuất chung"
"l10n_vn_group_632","632","Costs of goods sold","Giá vốn hàng bán"
"l10n_vn_group_635","635","Financial expenses","Chi phí tài chính"
"l10n_vn_group_641","641","Selling expenses","Chi phí bán hàng"
"l10n_vn_group_642","642","Management expenses","Chi phí quản lý doanh nghiệp"
"l10n_vn_group_711","711","Other Income","Thu nhập khác"
"l10n_vn_group_811","811","Other Expenses","Chi phí khác"
"l10n_vn_group_821","821","Corporate income tax expenses","Chi phí thu nhập doanh nghiệp"
"l10n_vn_group_8211","8211","Current corporate income tax expenses according to the provisions of the Law on Corporate Income Tax","Chi phí thuế thu nhập doanh nghiệp hiện hành theo quy định của Luật thuế thu nhập doanh nghiệp"
"l10n_vn_group_911","911","Income Summary","Xác định kết quả kinh doanh"
